name,kind,lat,lon,province/city
Especen Hotel,hotel,21.029055,105.8485059,Hà Nội
Di Tích Lịch Sử Chùa Láng,archaeological_site,21.0234337,105.802772,Hà Nội
Silk Path,hotel,21.0288266,105.844549,Hà Nội
Rising Dragon Villa,hotel,21.0345522,105.8474998,Hà Nội
Ô Thuỵ Chương,ruins,21.0395242,105.8284048,Hà Nội
Khách Sạn Little Hanoi 2,hostel,21.0272638,105.850907,Hà Nội
UBND xã Tiền Châu,museum,21.2409433,105.6944382,Hà Nội
Nhà Thờ Đạo Đức,monument,21.240343,105.685388,Hà Nội
Khách Sạn Golden LakeView,hotel,21.0315942,105.8507125,Hà Nội
Hanoi Blue Sky,hotel,21.0369374,105.8472445,Hà Nội
Khách Sạn Calypso Grand,hotel,21.0344421,105.8462418,Hà Nội
Khách Sạn La Dolce Vita,hotel,21.0338037,105.8489454,Hà Nội
Khách Sạn Danly,hotel,21.0326893,105.8088142,Hà Nội
Khách Sạn Mai,hotel,21.0332046,105.846031,Hà Nội
Khách Sạn Green Diamond,hotel,21.0340919,105.8515126,Hà Nội
Media Central,hotel,21.0341357,105.8513362,Hà Nội
Khách Sạn Asian Ruby,hotel,21.0346357,105.852058,Hà Nội
Khách Sạn Hanoi Moment,hotel,21.0346758,105.8497899,Hà Nội
Nhà Hàng Essence,hotel,21.0345271,105.852037,Hà Nội
Khách Sạn Indochina Queen II,hotel,21.0346204,105.8481915,Hà Nội
Oscar Hotel,hotel,21.0333615,105.8479638,Hà Nội
Quoc Hoa Hanoi Hotel,hotel,21.0338392,105.8476882,Hà Nội
Khách Sạn Golden Sun Palace,hotel,21.0326664,105.8496242,Hà Nội
Victory Hotel,hotel,21.0329421,105.8502358,Hà Nội
Rainbow Hotel,hotel,21.0348688,105.8495282,Hà Nội
Khách Sạn A25,hotel,21.0331192,105.8477167,Hà Nội
Khách Sạn Đông Thanh,hotel,21.034422,105.8463831,Hà Nội
Ngog Mai Hotel,hotel,21.0344071,105.8464358,Hà Nội
Khách Sạn First Eden,hotel,21.0417959,105.8451291,Hà Nội
Khách Sạn Green Park,hotel,21.0171605,105.848638,Hà Nội
Khách Sạn Hanoi Holiday Silver,hotel,21.0295372,105.8488609,Hà Nội
Khách Sạn Hanoi 3B,hotel,21.0342102,105.8535067,Hà Nội
Khách Sạn Friendly Backpacker,hotel,21.0346404,105.8544732,Hà Nội
Khách Sạn Golden Cyclo,hotel,21.030567,105.845517,Hà Nội
Khách Sạn Art Trendy,hotel,21.0349537,105.8480111,Hà Nội
Tu Linh Palace Hotel,hotel,21.0364254,105.8470343,Hà Nội
Khách Sạn Cầu Giấy,hotel,21.0325542,105.7992324,Hà Nội
Santa Barbara Hotel,hotel,21.0411871,105.8444866,Hà Nội
Khách Sạn Hồ Hoàn Kiếm,hotel,21.0305634,105.8495539,Hà Nội
Khách Sạn Moon View,hotel,21.042821,105.8428755,Hà Nội
Cầu Mậu Lương,attraction,20.952708,105.786903,Hà Nội
Bảo tàng Binh chủng Thông tin liên lạc,museum,21.0303429,105.8266305,Hà Nội
Khách Sạn Marriotte Ibiz City Hotel,hotel,21.0347635,105.8518089,Hà Nội
Nhà Khách Madam Moon 2,hotel,21.0315703,105.8506713,Hà Nội
Nhà Khách Hanoi Guesthouse,hotel,21.0344162,105.8535098,Hà Nội
Khách Sạn Golden Time 2,hostel,21.0307922,105.8547077,Hà Nội
Khách Sạn Hanoi Golden Moon,hotel,21.0327085,105.8545846,Hà Nội
Khách Sạn Medallion,hotel,21.0360324,105.8532614,Hà Nội
Lavender Central Hotel,hotel,21.0337956,105.8530368,Hà Nội
Oriental Suites Hotel,hotel,21.0330899,105.8510332,Hà Nội
Khách Sạn Art Boutique,hotel,21.0323445,105.8469581,Hà Nội
Hanoi La Palm Premier Hotel & Spa,hotel,21.0325304,105.8493275,Hà Nội
Nhà Khách May De Ville Backpacker,hostel,21.0342697,105.8520063,Hà Nội
The Palmy Hotel & Spa,hotel,21.0305847,105.8501334,Hà Nội
Khách Sạn Aurora,hotel,21.0349803,105.8531725,Hà Nội
Đài Tưởng Niệm Liệt Sĩ Cổ Nhuế,memorial,21.0547243,105.7871961,Hà Nội
Tirant Hotel,hotel,21.0331407,105.8524023,Hà Nội
Khách Sạn Hanoi Holiday Gold,hotel,21.0317751,105.8482993,Hà Nội
Khách Sạn Box,hotel,21.03609,105.8525434,Hà Nội
