name,kind,lat,lon
PC39,guest_house,10.9475381,108.185848
PC38,guest_house,10.9475963,108.1860094
PC37,guest_house,10.9476509,108.1861769
PC36,guest_house,10.9476946,108.1863415
PC35,guest_house,10.9477323,108.1864983
PC34,guest_house,10.9477694,108.1866644
PC33,guest_house,10.9478132,108.1868188
PC32,guest_house,10.9478396,108.1869889
PC31,guest_house,10.9478681,108.1871665
PC30,guest_house,10.9478661,108.1873338
PC29,guest_house,10.9478676,108.1874955
PC28,guest_house,10.9478737,108.1876608
PC27,guest_house,10.9478953,108.1878373
PC24,guest_house,10.9479218,108.1879971
PC23,guest_house,10.947944,108.1881656
PC51,guest_house,10.9479685,108.188326
PC52,guest_house,10.9479937,108.1884971
PC22,guest_house,10.9480231,108.1886486
PE25,guest_house,10.9463004,108.1845141
PE24,guest_house,10.9461909,108.184379
PE23,guest_house,10.9460725,108.1842396
PE22,guest_house,10.9459605,108.1841131
PE70,guest_house,10.9458518,108.1839722
PE21,guest_house,10.9457269,108.1838303
PE20,guest_house,10.9456017,108.1837
PE19,guest_house,10.9454866,108.1835704
PE80,guest_house,10.9466047,108.1839925
PE110,guest_house,10.9464938,108.183858
PE78,guest_house,10.9463794,108.1837399
PE18,guest_house,10.9468832,108.1837124
PE14,guest_house,10.9467698,108.1835919
PE13,guest_house,10.9466618,108.1834599
PE12,guest_house,10.9465506,108.1833321
PE11,guest_house,10.9464349,108.1832116
PE77,guest_house,10.9462673,108.1836145
PE76,guest_house,10.9461587,108.1834787
PE75,guest_house,10.9460415,108.183363
PE10,guest_house,10.9463237,108.183078
PE74,guest_house,10.945935,108.1832355
PE73,guest_house,10.9458123,108.1831124
PE109,guest_house,10.9457036,108.1829762
PE69,guest_house,10.9462045,108.1829598
PE9,guest_house,10.9460926,108.1828337
PE8,guest_house,10.9459794,108.1826965
PE7,guest_house,10.9458787,108.1825395
PE72,guest_house,10.9456029,108.1828456
PE71,guest_house,10.9455117,108.1826925
PE17,guest_house,10.945437,108.1825433
PE16,guest_house,10.9453609,108.1823874
PE15,guest_house,10.9452868,108.1822394
